Run Number,Solver,Energie,Params,Method,Qubo,Dimensions,Want Result,Result,Correct,Solve Time
15,QQ,[-0.01034697906137172],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99690994  4.          4.          4.         -4.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -2.          2.         -0.         -0.         -2.          2.
 -0.         -0.        ]",20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,total=7.627591133117676 overhead=None qpu=None
16,QQ,[-0.010195648499087717],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99700371  4.          4.          4.         -4.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -2.          2.         -0.         -0.         -2.          2.
 -0.         -0.        ]",20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,total=7.692376375198364 overhead=None qpu=None
17,QQ,[-0.010844952059612112],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99672688  4.          4.          4.         -4.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -2.          2.         -0.         -0.         -2.          2.
 -0.         -0.        ]",20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,total=7.6791160106658936 overhead=None qpu=None
18,QQ,[-0.012807261649248503],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99758597  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]",30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=8.171812295913696 overhead=None qpu=None
19,QQ,[-0.010180450309902334],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99823855  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]",30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=7.670750379562378 overhead=None qpu=None
20,QQ,[-0.011488433444389656],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99713417  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]",30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=7.614882230758667 overhead=None qpu=None
21,QQ,[-0.012126330055675538],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99730195  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]",30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=7.679739475250244 overhead=None qpu=None
22,QQ,[-0.01085521467983419],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99844112  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]",30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=7.370902061462402 overhead=None qpu=None
23,QQ,[-0.011630263309499789],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99715924  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]",30,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=8.280839920043945 overhead=None qpu=None
24,QQ,[-0.01251228594164644],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99729766  4.          4.          4.          4.          4.
 -4.         -2.         -2.         -2.         -2.         -2.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.        ]",42,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",True,total=7.65208888053894 overhead=None qpu=None
25,QQ,[-0.011358223604566398],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99820749  4.          4.          4.          4.          4.
 -4.         -2.         -2.         -2.         -2.         -2.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.        ]",42,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",True,total=7.666993856430054 overhead=None qpu=None
26,QQ,[-0.013628191483196161],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99717007  4.          4.          4.          4.          4.
 -4.         -2.         -2.         -2.         -2.         -2.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.        ]",42,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",True,total=7.667913436889648 overhead=None qpu=None
27,QQ,[-0.011645475529562965],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99833045  4.          4.          4.          4.          4.
 -4.         -2.         -2.         -2.         -2.         -2.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.        ]",42,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",True,total=7.744441032409668 overhead=None qpu=None
28,QQ,[-0.01130272554649725],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99756841  4.          4.          4.          4.          4.
 -4.         -2.         -2.         -2.         -2.         -2.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.        ]",42,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",True,total=7.6818625926971436 overhead=None qpu=None
29,QQ,[-0.013317543437675994],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99771244  4.          4.          4.          4.          4.
 -4.         -2.         -2.         -2.         -2.         -2.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.        ]",42,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",True,total=7.694661378860474 overhead=None qpu=None
30,QQ,[-0.01078477464389671],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99840003  4.          4.          4.          4.          4.
  4.         -4.         -2.         -2.         -2.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -0.         -0.         -2.          2.
 -0.         -0.         -0.         -0.         -0.         -2.
  2.         -0.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.
 -0.         -0.        ]",56,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",True,total=8.594314098358154 overhead=None qpu=None
31,QQ,[-0.010498182450413118],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99824476  4.          4.          4.          4.          4.
  4.         -4.         -2.         -2.         -2.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -0.         -0.         -2.          2.
 -0.         -0.         -0.         -0.         -0.         -2.
  2.         -0.         -0.         -0.         -0.         -0.
 -2.          2.         -0.         -0.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.
 -0.         -0.        ]",56,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",True,total=7.829478740692139 overhead=None qpu=None
